"kais","work"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
2,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
3,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
4,"Romans"
2,"Romans"
1,"Romans"
0,"Romans"
2,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
3,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
2,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
3,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
3,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
3,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
2,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
2,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
3,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
2,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
2,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
2,"Romans"
1,"Romans"
1,"Romans"
2,"Romans"
1,"Romans"
2,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
2,"Romans"
2,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
2,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
2,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
2,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
2,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
2,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
3,"Romans"
1,"Romans"
1,"Romans"
2,"Romans"
3,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
2,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
2,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
3,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
2,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
2,"Romans"
0,"Romans"
2,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
2,"Romans"
0,"Romans"
2,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
