"y.binomial" "n.binomial" "center" "cramer" "ratio" "PNT"
4 51 2489 FALSE 1.02029220779221 5.57650327049362
7 51 2537 FALSE 1.01990445859873 5.56492396047929
7 51 2253 FALSE 1.02244165170557 5.63785863801183
7 51 552 TRUE 1.09487666034156 6.66639930747107
4 51 4317 FALSE 1.0116495806151 5.25986475433183
6 51 3012 FALSE 1.01673920321393 5.46273447595303
8 51 1868 FALSE 1.02712967986978 5.75674973577244
7 51 1168 TRUE 1.04374453193351 6.07706340848924
5 51 3397 FALSE 1.01482799525504 5.39325293108999
7 51 3472 FALSE 1.01450536698578 5.38080963434084
6 51 4787 FALSE 1.0104997900042 5.20431491863189
5 51 1653 FALSE 1.03071253071253 5.83693253368048
7 51 2783 FALSE 1.01812907904278 5.50937634546324
6 51 979 TRUE 1.05241090146751 6.20665442787339
7 51 4470 FALSE 1.01124859392576 5.24106547556664
9 51 1043 TRUE 1.04911591355599 6.15931995552938
6 51 2039 FALSE 1.02482621648461 5.70047367800447
6 51 2914 FALSE 1.01730702665282 5.48215152444118
5 51 2593 FALSE 1.01947040498442 5.55170702073343
10 51 1476 FALSE 1.03445899379738 5.91330389541002
4 51 1816 FALSE 1.02791736460078 5.77496539024838
5 51 4333 FALSE 1.01160631383473 5.25784999554355
5 51 3006 FALSE 1.01677289500168 5.46388171228801
6 51 1640 FALSE 1.03095975232198 5.84219731770861
9 51 581 TRUE 1.08992805755396 6.62235531700662
7 51 4495 FALSE 1.01118568232662 5.23800428216055
7 51 1193 TRUE 1.04280821917808 6.0620608011495
5 51 2618 FALSE 1.01928268414963 5.54596710427421
6 51 2564 FALSE 1.01969279243797 5.558469747787
5 51 1825 FALSE 1.02777777777778 5.77196894311294
8 51 931 TRUE 1.05518763796909 6.24421270025979
9 51 1073 TRUE 1.04770992366412 6.13882095012863
6 51 3030 FALSE 1.01663893510815 5.45925552228414
6 51 4431 FALSE 1.01134816159782 5.24574095214518
7 51 3233 FALSE 1.01558603491272 5.42161971666775
7 51 4021 FALSE 1.01251251251251 5.29872376938459
9 51 192 TRUE 1.29940119760479 7.70661041100806
9 51 243 TRUE 1.22935779816514 7.447898654791
4 51 1340 FALSE 1.03802281368821 5.98001025564554
7 51 2655 FALSE 1.01901140684411 5.53744718910224
8 51 614 TRUE 1.0848896434635 6.57600604423378
8 51 1625 FALSE 1.03125 5.84830171468423
8 51 4263 FALSE 1.01179801793299 5.26669215638162
2 51 4844 FALSE 1.0103755965968 5.1980526635358
3 51 3963 FALSE 1.0126968004063 5.30673981934223
8 51 4115 FALSE 1.01222493887531 5.28601726623214
6 51 2933 FALSE 1.0171939477304 5.47828112538667
8 51 4275 FALSE 1.01176470588235 5.26520939107206
6 51 320 TRUE 1.16949152542373 7.1702695848447
7 51 303 TRUE 1.17985611510791 7.22343499418844
11 51 67 TRUE 2.19047619047619 9.11198573525137
8 51 342 TRUE 1.15772870662461 7.10425255108256
6 51 2848 FALSE 1.01771165426851 5.49564894669749
7 51 2821 FALSE 1.01788268955651 5.50126876026258
6 51 2530 FALSE 1.01996007984032 5.56660941333575
5 51 3952 FALSE 1.01273236567354 5.30829600609655
8 51 1209 FALSE 1.04222972972973 6.05235407587111
6 51 778 TRUE 1.066401062417 6.38361022312942
8 51 3307 FALSE 1.01523461304083 5.40863725966807
8 51 400 TRUE 1.13333333333333 6.95363117955374
8 51 2108 FALSE 1.0240038406145 5.67940743345861
8 51 4638 FALSE 1.01083893344895 5.22116887210939
8 51 4135 FALSE 1.01216545012165 5.28335683703335
7 51 2143 FALSE 1.02360717658168 5.66902616509117
6 51 781 TRUE 1.06613756613757 6.38068557532439
9 51 1032 TRUE 1.04965243296922 6.16733604321064
6 51 2611 FALSE 1.01933488012374 5.54752102431519
9 51 2365 FALSE 1.02136752136752 5.60776030331499
10 51 1474 FALSE 1.03450655624569 5.91401999677223
4 51 3978 FALSE 1.01264862130028 5.30463569565563
7 51 3384 FALSE 1.01488538255433 5.39543276217825
8 51 4006 FALSE 1.01255965837729 5.30083105032514
8 51 4793 FALSE 1.01048657718121 5.20363193970888
5 51 1160 TRUE 1.04405286343612 6.08187579977692
5 51 3256 FALSE 1.01547508511297 5.41758404315885
4 51 1960 FALSE 1.02583979328165 5.72577715403116
5 51 1527 FALSE 1.03328894806924 5.89019399947279
5 51 4602 FALSE 1.01092418614813 5.22536212549596
6 51 3809 FALSE 1.01321353065539 5.3288017117959
4 51 1940 FALSE 1.02610966057441 5.7322390682049
5 51 1135 TRUE 1.04504504504505 6.09802520836774
5 51 4287 FALSE 1.01173158141718 5.26368617134176
8 51 1101 TRUE 1.04646840148699 6.11963612980861
6 51 3172 FALSE 1.01588814744201 5.43266936795624
6 51 1412 FALSE 1.03604902667628 5.94357754237475
6 51 2310 FALSE 1.0218818380744 5.62231952992175
5 51 4732 FALSE 1.01062247716167 5.21047832694467
8 51 2404 FALSE 1.02101723413199 5.5977837591584
9 51 4249 FALSE 1.01183712121212 5.26849700934986
7 51 4070 FALSE 1.0123609394314 5.29204784986496
9 51 2286 FALSE 1.02211410880142 5.62890436299369
6 51 712 TRUE 1.07278020378457 6.45386074118203
5 51 3883 FALSE 1.01296008294453 5.31806618131492
8 51 873 TRUE 1.05896226415094 6.29399394397856
8 51 1009 TRUE 1.05081300813008 6.18421722596125
6 51 4741 FALSE 1.01060220525869 5.209458909874
5 51 4599 FALSE 1.010931351115 5.22575342264929
10 51 177 TRUE 1.32894736842105 7.80081223621345
4 51 1664 FALSE 1.03050640634533 5.83247143502325
6 51 2234 FALSE 1.02263467632413 5.64307756958141
3 51 2500 FALSE 1.02020202020202 5.57379258635592
8 51 1055 TRUE 1.04854368932039 6.15122131190174
8 51 352 TRUE 1.15290519877676 7.07625883530583
5 51 3882 FALSE 1.01296344309048 5.31819431216456
6 51 2863 FALSE 1.01761804087385 5.49253246662562
7 51 1982 FALSE 1.02554931016863 5.71865276905083
6 51 4119 FALSE 1.01221299462628 5.28552014625086
8 51 1011 TRUE 1.05070993914807 6.18255468115711
8 51 1012 TRUE 1.05065856129686 6.18177913240802
8 51 4259 FALSE 1.0118091639112 5.26722630005139
6 51 2529 FALSE 1.01996805111821 5.56678484162404
6 51 1788 FALSE 1.02836074872377 5.78516299389571
8 51 1610 FALSE 1.03154574132492 5.85460649890084
6 51 4711 FALSE 1.01067008109262 5.21281859621183
7 51 4110 FALSE 1.01223990208078 5.28670641261056
7 51 2113 FALSE 1.02394636015326 5.67802055738326
7 51 2270 FALSE 1.02227171492205 5.63313920405255
4 51 1819 FALSE 1.02787068004459 5.77406374081582
8 51 4802 FALSE 1.01046682018003 5.2026397469383
