"y" "size" "center" "variance" "even" "cramer" "ratio" "PNT"
11 31 16.5 88 TRUE TRUE 32 7.38441885232809
2 10 37 11 FALSE FALSE 1.3125 2.00911916043395
8 35 59.5 111 TRUE TRUE 1.83333333333333 6.49744388309845
1 3 78.5 1.66666666666667 TRUE FALSE 1.03896103896104 0.530612487978658
29 153 156.5 1989.16666666667 TRUE TRUE 2.9125 24.5180640760084
2 10 238 11 FALSE FALSE 1.04291845493562 1.49411731298024
9 61 273.5 325.5 TRUE TRUE 1.25102880658436 8.93777206974033
4 15 311.5 22.6666666666667 TRUE FALSE 1.04934210526316 2.15788861374621
0 10 324 11 FALSE FALSE 1.03134796238245 1.43126888166225
5 24 341 54.1666666666667 FALSE FALSE 1.07294832826748 3.41110289065611
5 32 369 93.5 FALSE FALSE 1.09065155807365 4.50091908821051
4 29 399.5 77.5 TRUE FALSE 1.07532467532468 4.03332768874488
8 46 437 188 FALSE TRUE 1.11111111111111 6.32274689428003
11 69 494.5 414.166666666667 TRUE TRUE 1.15 9.33237156930802
0 11 534.5 13 TRUE FALSE 1.02079395085066 1.47254357666013
11 63 571.5 346.666666666667 TRUE TRUE 1.11666666666667 8.36169178226407
4 16 611 25.5 FALSE FALSE 1.02653399668325 2.10567743360363
7 45 641.5 180.166666666667 TRUE TRUE 1.07269789983845 5.88536106955185
1 11 669.5 13 TRUE FALSE 1.01656626506024 1.43085293215381
12 82 716 581 FALSE TRUE 1.12148148148148 10.5775503521052
4 37 775.5 123.5 TRUE FALSE 1.04887714663144 4.72531804161144
11 67 827.5 391 TRUE TRUE 1.08438287153652 8.48864180247179
5 27 874.5 67.6666666666667 TRUE FALSE 1.03135888501742 3.39795974846825
2 27 901.5 67.6666666666667 TRUE FALSE 1.03040540540541 3.38518340529427
12 89 959.5 682.5 TRUE TRUE 1.09726775956284 11.0753726661302
10 57 1032.5 285.166666666667 TRUE TRUE 1.05677290836653 7.03021107716054
14 105 1113.5 945.166666666667 TRUE TRUE 1.09896324222432 12.8347553334034
3 26 1179 63 FALSE FALSE 1.02229845626072 3.15648688082391
2 10 1197 11 FALSE FALSE 1.00838926174497 1.21191930331199
0 3 1203.5 1.66666666666667 TRUE FALSE 1.00249584026622 0.363331277037702
5 26 1218 63 FALSE FALSE 1.02157676348548 3.14446422862773
12 78 1270 526.666666666667 FALSE TRUE 1.06336311941511 9.38761419542223
15 140 1379 1668.5 FALSE TRUE 1.10695187165775 16.6886792525944
10 50 1474 221 FALSE FALSE 1.03450655624569 5.91420263783024
6 55 1526.5 266 TRUE TRUE 1.03669112741828 6.47933131429161
1 12 1560 15.1666666666667 FALSE FALSE 1.00772200772201 1.41016264246832
7 42 1587 157.666666666667 FALSE FALSE 1.02681992337165 4.92582405876792
1 4 1610 2.5 FALSE FALSE 1.00248756218905 0.4683512756678
4 16 1620 25.5 FALSE FALSE 1.00992555831266 1.87214485377177
5 46 1651 188 FALSE FALSE 1.02825552825553 5.37072435320832
11 89 1718.5 682.5 TRUE TRUE 1.0531660692951 10.3440889747505
4 27 1776.5 67.6666666666667 TRUE FALSE 1.01531480431083 3.12627654236815
4 46 1813 188 FALSE FALSE 1.02569832402235 5.31417369162034
1 12 1842 15.1666666666667 FALSE FALSE 1.00653594771242 1.38376201385483
10 76 1886 500.5 FALSE TRUE 1.04112554112554 8.74094950778039
4 40 1944 143.5 FALSE FALSE 1.02079002079002 4.58479382933558
7 39 1983.5 136.666666666667 TRUE FALSE 1.01985743380855 4.46009315041448
5 36 2021 117.166666666667 FALSE FALSE 1.01797304043934 4.10852879067056
7 58 2068 295 FALSE FALSE 1.02844531633154 6.6021546571389
13 115 2154.5 1131 TRUE TRUE 1.0548402479733 13.0314619018826
2 11 2217.5 13 TRUE FALSE 1.00497287522604 1.24249174371352
9 64 2255 357.5 FALSE TRUE 1.02878992352677 7.2157571605556
2 18 2296 31.6666666666667 FALSE FALSE 1.0078705728028 2.02536500256286
2 11 2310.5 13 TRUE FALSE 1.00477223427332 1.23688907890551
17 122 2377 1271 FALSE TRUE 1.05267702936097 13.6756405276776
2 13 2444.5 17.5 TRUE FALSE 1.00533223954061 1.45274854089956
3 23 2462.5 50 TRUE FALSE 1.0093839249286 2.56818855056451
17 174 2561 2566.66666666667 FALSE TRUE 1.07033144704931 19.3464770194475
18 101 2698.5 875.5 TRUE TRUE 1.0381419939577 11.1662196471616
1 9 2753.5 9.16666666666667 TRUE FALSE 1.00327391778829 0.992833094769253
0 4 2760 2.5 FALSE FALSE 1.00145032632342 0.441147487091428
2 16 2770 25.5 FALSE FALSE 1.00579290369298 1.76389008393522
6 49 2802.5 212.5 TRUE FALSE 1.01763858891289 5.39510542163652
7 56 2855 275.5 FALSE FALSE 1.01980898478953 6.15357116372979
